Descriptor,Result
CCOO_ᵡ,18794.032874008186
CCOX_ᵡ,318.2233693956641
CCOM_ᵡ,9934.709647863478
CCXX_ᵡ,346.2950212556093
CCXM_ᵡ,0.0
CCMM_ᵡ,369.65487883109415
CNNN_ᵡ,-8859.324333667126
CNNO_ᵡ,-22638.173304087446
CNNX_ᵡ,25.887450369143835
CNNM_ᵡ,-90148.6714531257
CNOO_ᵡ,32706.813938278396
CNOX_ᵡ,7.796646733061607
CNOM_ᵡ,-17470.383661391774
CNXX_ᵡ,67.122339657863
CNXM_ᵡ,0.0
CNMM_ᵡ,15000.274528110853
COOO_ᵡ,-13985.867788563606
COOX_ᵡ,71.44331610193558
COOM_ᵡ,73315.3437984022
COXX_ᵡ,7.784788801556715
COXM_ᵡ,0.0
COMM_ᵡ,24050.29594592892
CXXX_ᵡ,312.8741513167488
CXXM_ᵡ,0.0
CXMM_ᵡ,0.0
CMMM_ᵡ,12436.309273648603
NNNN_ᵡ,57541.94637040375
NNNO_ᵡ,-79819.45701887798
NNNX_ᵡ,5.952743614309554
NNNM_ᵡ,0.0
NNOO_ᵡ,62555.45561706862
NNOX_ᵡ,39.8465791777553
NNOM_ᵡ,-200443.89385765395
NNXX_ᵡ,111.4665791076327
NNXM_ᵡ,0.0
NNMM_ᵡ,-263460.08274666057
NOOO_ᵡ,-2051.318505588781
NOOX_ᵡ,-56.96421097106102
NOOM_ᵡ,72325.8936546985
NOXX_ᵡ,-2.0562911101037287
NOXM_ᵡ,0.0
NOMM_ᵡ,45654.081846880625
NXXX_ᵡ,12.800133930008599
NXXM_ᵡ,0.0
NXMM_ᵡ,0.0
NMMM_ᵡ,75330.59041107196
OOOO_ᵡ,-18690.101665231876
OOOX_ᵡ,-33.33980500373218
OOOM_ᵡ,66895.31265844943
OOXX_ᵡ,78.33864250843862
OOXM_ᵡ,0.0
OOMM_ᵡ,102999.52658760783
OXXX_ᵡ,-70.96816176638902
OXXM_ᵡ,0.0
OXMM_ᵡ,0.0
OMMM_ᵡ,-69665.78022244397
XXXX_ᵡ,196.9773783768187
XXXM_ᵡ,0.0
XXMM_ᵡ,0.0
XMMM_ᵡ,0.0
MMMM_ᵡ,0.0
SSSS_Eea,58146.34968197883
SSSC_Eea,-4047.686655564778
SSSN_Eea,-3099.934694447427
SSSO_Eea,-22321.682212861142
SSSX_Eea,0.0
SSSM_Eea,-6400.058086849031
SSCC_Eea,-5322.051851500601
SSCN_Eea,-8419.005888711783
SSCO_Eea,-22315.97006868173
SSCX_Eea,0.0
SSCM_Eea,-795.3518690595655
